price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,statezip
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,66,16,98133
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,100,0,98119
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,55,0,98042
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,58,0,98008
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,45,29,98052
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,83,27,98115
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,45,0,98052
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,32,0,98038
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,36,0,98045
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,76,11,98115
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,73,27,98155
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,112,33,98105
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,41,0,98074
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,66,12,98106
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,82,52,98105
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,56,0,98042
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,65,0,98007
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,24,0,98092
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,34,21,98198
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,38,12,98045
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,98,0,98115
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,67,42,98006
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,16,0,98102
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,30,0,98011
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,62,32,98125
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,34,0,98003
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,73,0,98136
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,101,0,98033
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,42,7,98029
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,70,22,98117
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,54,0,98034
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,17,18,98072
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,76,11,98115
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,7,0,98155
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,42,7,98092
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,26,0,98023
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,77,0,98107
