price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,sqft_basement,yr_built,yr_renovated,statezip,city_Seattle,city_Renton,city_Bellevue,city_Redmond,city_Issaquah,city_Kent,city_Kirkland,city_Auburn,city_Sammamish,city_Federal Way,city_Shoreline,city_Woodinville,city_Maple Valley,city_Mercer Island,city_Burien
313000.0,3.0,1.5,1340,7912,1.5,0,3,0,66,16,374433.23297491396,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
342000.0,3.0,2.0,1930,11947,1.0,0,4,0,55,0,320953.50360750506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
420000.0,3.0,2.25,2000,8030,1.0,0,4,1000,58,0,560166.4285714285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
550000.0,4.0,2.5,1940,10500,1.0,0,4,800,45,29,634790.0235953258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490000.0,2.0,1.0,880,6380,1.0,0,3,0,83,27,595001.8816964297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335000.0,2.0,2.0,1350,2560,1.0,0,3,0,45,0,634790.0235953258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
482000.0,4.0,2.5,2710,35868,2.0,0,3,0,32,0,335314.80354609573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
452500.0,3.0,2.5,2430,88426,1.0,0,4,860,36,0,386811.5891472791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000.0,4.0,2.0,1520,6200,1.5,0,3,0,76,11,595001.8816964297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463000.0,3.0,1.75,1710,7320,1.0,0,3,0,73,27,379187.00883838633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000.0,4.0,2.5,2920,4000,1.5,0,5,1010,112,33,879472.5902777709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588500.0,3.0,1.75,2330,14892,1.0,0,3,360,41,0,610092.1931113505,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
365000.0,3.0,1.0,1090,6435,1.0,0,4,0,66,12,293297.8142076557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200000.0,5.0,2.75,2910,9480,1.5,0,3,0,82,52,879472.5902777709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242500.0,3.0,1.5,1200,9720,1.0,0,4,0,56,0,320953.50360750506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
419000.0,3.0,1.5,1570,6700,1.0,0,4,0,65,0,639103.4188034103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
367500.0,4.0,3.0,3110,7231,2.0,0,3,0,24,0,358234.6037624938,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
257950.0,3.0,1.75,1370,5858,1.0,0,3,0,34,21,307774.4234693929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275000.0,3.0,1.5,1180,10277,1.0,0,3,0,38,12,386811.5891472791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750000.0,3.0,1.75,2240,10578,2.0,0,5,690,98,0,595001.8816964297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
